Code,Area,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil
E09000002,Barking and Dagenham,2201,49.7,0.15
E09000003,Barnet,3647,56.1,0.33
E09000004,Bexley,3192,52.2,-0.04
E09000005,Brent,3035,51.5,0.31
E09000006,Bromley,3305,53.7,0.10
E09000007,Camden,1422,50.6,0.00
E09000008,Croydon,3844,48.5,0.08
E09000009,Ealing,2781,50.9,0.28
E09000010,Enfield,3579,50.4,0.05
E09000011,Greenwich,2204,49.6,-0.01
E09000012,Hackney,2038,52.5,0.35
E09000013,Hammersmith and Fulham,1350,54.1,0.12
E09000014,Haringey,2231,50.1,0.28
E09000015,Harrow,2127,53.1,0.32
E09000016,Havering,2917,50.0,-0.14
E09000017,Hillingdon,3136,51.2,0.06
E09000018,Hounslow,2667,51.1,0.29
E09000019,Islington,1397,50.6,0.19
E09000020,Kensington and Chelsea,740,56.6,0.34
E09000021,Kingston upon Thames,1515,58.2,0.34
E09000022,Lambeth,1887,49.7,0.06
E09000023,Lewisham,2334,47.5,-0.14
E09000024,Merton,1440,52.4,0.27
E09000025,Newham,3489,50.9,0.23
E09000026,Redbridge,3363,53.9,0.28
E09000027,Richmond upon Thames,1367,54.6,0.10
E09000028,Southwark,2386,52.9,0.22
E09000029,Sutton,2667,58.7,0.17
E09000030,Tower Hamlets,2570,50.2,0.15
E09000031,Waltham Forest,2539,50.4,0.23
E09000032,Wandsworth,1660,52.1,0.15
E09000033,Westminster,1566,54.5,0.32
