,,All,,,,,,,Boys,,,,,,,Girls,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass
,,,,,,,,,,,,,,,,,,,,,
E09000032,Wandsworth,"1,707",50.8,+0.30,95.0,54.2,71.7,,891,48.9,+0.15,93.7,53.1,69.6,,816,52.9,+0.46,96.4,55.4,74.0
E09000033,Westminster,"1,495",52.9,+0.47,98.3,53.0,73.8,,743,48.0,+0.13,97.6,44.1,66.8,,752,57.8,+0.81,98.9,61.7,80.7
,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"25,466",48.3,+0.19,96.4,46.4,66.1,,"12,570",45.4,-0.06,95.5,43.2,62.7,,"12,896",51.1,+0.43,97.4,49.6,69.3
E13000002,Outer London,"50,758",49.9,+0.24,97.0,49.9,68.8,,"25,653",47.3,+0.03,96.1,47.1,66.1,,"25,105",52.6,+0.46,98.0,52.6,71.6
,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"24,838",44.9,-0.23,96.2,40.8,62.2,,"12,700",42.4,-0.45,94.8,37.9,58.7,,"12,138",47.6,-0.01,97.6,43.8,65.9
E12000002,North West,"71,555",45.7,-0.16,97.1,41.2,62.9,,"36,410",43.0,-0.40,96.2,38.0,59.2,,"35,145",48.5,+0.09,98.0,44.6,66.7
E12000003,Yorkshire and the Humber,"53,178",45.1,-0.02,97.3,41.1,62.4,,"27,121",42.4,-0.25,96.6,37.5,58.5,,"26,057",47.9,+0.23,98.0,44.8,66.5
E12000004,East Midlands,"45,234",45.5,-0.09,97.3,42.0,63.3,,"23,164",42.9,-0.33,96.5,38.6,59.4,,"22,070",48.3,+0.16,98.1,45.6,67.4
E12000005,West Midlands,"58,845",45.2,-0.08,97.0,39.5,60.9,,"30,025",42.4,-0.32,96.0,36.1,56.9,,"28,820",48.1,+0.17,98.0,42.9,65.1
E12000006,East,"59,100",47.0,+0.03,97.2,43.9,65.3,,"30,215",44.5,-0.19,96.5,41.1,61.8,,"28,885",49.6,+0.25,98.0,46.8,68.9
E12000007,London,"76,224",49.4,+0.23,96.8,48.7,67.9,,"38,223",46.7,0.00,95.9,45.8,65.0,,"38,001",52.1,+0.45,97.8,51.6,70.8
E12000008,South East,"82,803",47.8,+0.01,97.0,46.4,66.7,,"42,356",45.1,-0.22,96.1,43.0,63.0,,"40,447",50.7,+0.24,98.0,50.0,70.6
E12000009,South West,"49,425",46.7,-0.07,97.2,43.2,65.0,,"25,220",44.0,-0.30,96.5,39.3,60.8,,"24,205",49.6,+0.18,97.9,47.3,69.5
,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"583,617",44.5,.,90.1,40.2,59.4,,"299,529",41.5,.,88.7,36.8,55.5,,"284,088",47.7,.,91.6,43.9,63.7
