Code,Area,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil
E09000002,Barking and Dagenham,2199,46.1,0.17
E09000003,Barnet,3810,56.0,0.57
E09000004,Bexley,3032,49.6,-0.10
E09000005,Brent,2858,49.9,0.54
E09000006,Bromley,3214,50.3,0.03
E09000007,Camden,1533,48.0,0.07
E09000008,Croydon,3452,45.8,0.07
E09000009,Ealing,2853,50.0,0.53
E09000010,Enfield,3414,46.3,0.08
E09000011,Greenwich,2269,44.5,-0.18
E09000012,Hackney,2058,49.0,0.31
E09000013,Hammersmith and Fulham,1291,52.9,0.34
E09000014,Haringey,2190,46.3,0.16
E09000015,Harrow,2044,50.7,0.45
E09000016,Havering,2774,46.9,-0.09
E09000017,Hillingdon,3064,47.8,0.15
E09000018,Hounslow,2666,49.4,0.43
E09000019,Islington,1404,46.3,0.15
E09000020,Kensington and Chelsea,718,51.6,0.11
E09000021,Kingston upon Thames,1515,57.8,0.53
E09000022,Lambeth,2114,44.6,-0.05
E09000023,Lewisham,2104,44.9,-0.22
E09000024,Merton,1404,49.7,0.44
E09000025,Newham,3745,48.7,0.32
E09000026,Redbridge,3508,53.1,0.47
E09000027,Richmond upon Thames,1479,51.7,0.14
E09000028,Southwark,2386,50.2,0.30
E09000029,Sutton,2719,58.1,0.39
E09000030,Tower Hamlets,2721,46.8,0.15
E09000031,Waltham Forest,2484,46.1,0.21
E09000032,Wandsworth,1707,50.8,0.30
E09000033,Westminster,1495,52.9,0.47
