,,All,,,,,,Boys,,,,,,Girls,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved A*-C in English and maths GCSEs,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved A*-C in English and maths GCSEs,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved A*-C in English and maths GCSEs
,,,,,,,,,,,,,,,,,,
E12000002,North West,"74,057",49.4,-0.15,97.0,61.7,,"37,571",47.1,-0.29,96.1,57.3,,"36,486",51.8,0.00,97.8,66.1
E12000003,Yorkshire and the Humber,"54,562",48.9,-0.03,97.1,60.9,,"27,760",46.7,-0.17,96.4,56.9,,"26,802",51.2,+0.11,97.7,65.2
E12000004,East Midlands,"47,204",48.9,-0.14,97.1,61.6,,"24,169",46.5,-0.29,96.3,57.3,,"23,035",51.3,+0.01,98.0,66.1
E12000005,West Midlands,"60,215",49.2,-0.08,97.2,60.3,,"30,996",46.9,-0.22,96.2,56.3,,"29,219",51.6,+0.08,98.2,64.6
E12000006,East,"61,059",50.4,+0.03,97.2,64.0,,"31,170",48.2,-0.10,96.6,60.2,,"29,889",52.6,+0.16,97.9,67.9
E12000007,London,"76,596",51.9,+0.16,96.8,66.4,,"38,434",49.7,+0.02,96.0,63.0,,"38,162",54.1,+0.30,97.6,69.9
E12000008,South East,"85,618",51.0,+0.02,96.9,65.8,,"43,784",48.7,-0.12,96.1,61.9,,"41,834",53.4,+0.16,97.8,70.0
E12000009,South West,"52,421",50.3,-0.05,97.2,64.0,,"26,725",48.3,-0.18,96.6,60.5,,"25,696",52.3,+0.08,97.7,67.6
,,,,,,,,,,,,,,,,,,
E92000001,England,"537,808",50.1,-0.03,97.0,63.3,,"273,890",47.8,-0.17,96.2,59.4,,"263,918",52.4,+0.11,97.8,67.3
