2022/23,,All,,,,,,,Boys,,,,,,,Girls,,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,Percentage of pupils entering English and Mathematics GCSEs,,,,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entering English and Mathematics GCSEs,,,,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entering English and Mathematics GCSEs,,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,,,,,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,,,,,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,
,,,,,,,,,,,,,,,,,,,,,,
E09000027,Richmond upon Thames,"1,891",55.9,+0.40,96.2,65,80,,978,53.3,+0.29,0.957,0.634,0.775,,913,58.7,+0.53,0.968,0.668,0.826,
E09000029,Sutton,"3,278",59.9,+0.51,97.3,69.2,82.5,,"1,676",58.8,+0.42,0.957,0.693,0.814,,"1,602",61.1,+0.61,0.989,0.69,0.836,
E09000031,Waltham Forest,"2,805",45.7,-0.06,96.3,46.8,64.8,,"1,435",42.7,-0.29,0.951,0.436,0.613,,"1,370",48.9,0.17,0.974,0.501,0.685,
,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"30,220",49.7,+0.23,96,52.4,69.7,,"15,200",47.4,+0.09,0.948,0.506,0.676,,"15,020",52.2,+0.36,0.972,0.542,0.718,
E13000002,Outer London,"59,564",51.0,0.3,96.7,54.9,71.9,,"30,646",49.0,0.16,0.959,0.531,0.7,,"28,918",53.3,0.44,0.976,0.568,0.74,
,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"27,720",44.5,-0.27,95.6,41.9,62.4,,"14,189",42.2,-0.40,0.944,0.396,0.599,,"13,531",46.9,-0.14,0.968,0.444,0.651,
E12000002,North West,"83,309",44.6,-0.20,96.1,41.7,62.4,,"42,674",42.3,-0.35,0.952,0.398,0.6,,"40,635",47.0,-0.04,0.969,0.438,0.648,
E12000003,Yorkshire and The Humber,"61,019",44.7,-0.06,96.1,42.6,62.8,,"31,237",42.5,-0.20,0.955,0.404,0.605,,"29,782",47.0,+0.09,0.968,0.449,0.652,
E12000004,East Midlands,"52,759",45.2,-0.04,96.5,43,63.8,,"26,954",43.1,-0.18,0.96,0.406,0.613,,"25,805",47.5,+0.10,0.971,0.455,0.664,
E12000005,West Midlands,"68,231",44.9,-0.09,96.4,41.9,62.1,,"34,723",42.4,-0.26,0.956,0.395,0.593,,"33,508",47.6,+0.09,0.972,0.443,0.649,
E12000006,East of England,"68,372",46.6,+0.01,96.5,45.6,66.3,,"34,936",44.4,-0.13,0.958,0.437,0.641,,"33,436",48.8,+0.15,0.972,0.476,0.685,
E12000007,London,"89,784",50.6,+0.27,96.5,54.1,71.2,,"45,846",48.4,+0.14,0.955,0.523,0.692,,"43,938",52.9,+0.41,0.974,0.559,0.732,
E12000008,South East,"96,414",47.4,-0.02,96.2,47.8,67.5,,"49,327",45.4,-0.16,0.955,0.458,0.652,,"47,087",49.6,+0.11,0.968,0.499,0.698,
E12000009,South West,"56,005",46.3,-0.02,96.2,44.9,65.6,,"28,749",44.1,-0.16,0.956,0.428,0.629,,"27,256",48.6,0.12,0.969,0.471,0.685,
,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"603,613",46.4,-0.03,96.3,45.5,65.4,,"308,635",44.2,-0.17,0.955,0.434,0.63,,"294,978",48.7,+0.12,0.97,0.476,0.678,
,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,
"1. All state-funded schools include local authority maintained mainstream schools, academies, free schools, city technology colleges, further education colleges with provision for 14 to 16 year-olds and state-funded special schools. They exclude independent schools, independent special schools, non-maintained special schools, hospital schools, pupil referral units and alternative provision. Alternative provision includes academy and free school alternative provision. ",,,,,,,,,,,,,,,,,,,,,,
2. Some zero percentages may represent small numbers due to rounding.,,,,,,,,,,,,,,,,,,,,,,
Link:,https://explore-education-statistics.service.gov.uk/data-tables/permalink/2d41c285-c4e4-4323-fbc2-08dc2e3669fd,,,,,,,,,,,,,,,,,,,,,
