,,All,,,,,,,Boys,,,,,,,Girls,,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,
,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,29115,52,+0.20,96.5,56.6,73.7,,14610,49.7,+0.03,95.4,54,71.4,,14505,54.3,+0.37,97.6,59.1,76,
E13000002,Outer London,57020,53.1,+0.25,96.8,58,74.5,,29077,50.8,+0.09,96.1,55.4,72.4,,27943,55.5,+0.42,97.5,60.6,76.8,
,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,27771,46.9,-0.27,95.2,46,65.8,,14140,44.6,-0.44,94,43.9,63.7,,13631,49.3,-0.10,96.4,48.3,68,
E12000002,North West,81480,47.2,-0.16,96.2,46.8,66.2,,41771,44.8,-0.33,95.4,44.1,63.8,,39709,49.7,+0.02,97,49.6,68.7,
E12000003,Yorkshire and the Humber,59995,46.9,-0.07,96.3,47.7,66.6,,30603,44.3,-0.26,95.4,44.7,63.8,,29392,49.6,+0.12,97.2,50.8,69.5,
E12000004,East Midlands,51076,47.7,-0.03,96.7,47.5,67.8,,26116,44.9,-0.22,96,44.2,64.5,,24960,50.6,+0.18,97.5,50.9,71.2,
E12000005,West Midlands,66102,47.6,-0.06,96.3,47.2,66.6,,33590,44.9,-0.25,95.3,44.2,63.8,,32512,50.5,+0.15,97.4,50.2,69.4,
E12000006,East,65738,49.1,-0.01,96.6,50,69.9,,33786,46.5,-0.19,95.9,47,67.1,,31952,51.9,+0.19,97.3,53.2,72.9,
E12000007,London,86135,52.7,+0.23,96.7,57.5,74.3,,43687,50.4,+0.07,95.9,54.9,72.1,,42448,55.1,+0.40,97.5,60.1,76.5,
E12000008,South East,92739,50.1,-0.03,96.4,52.1,70.9,,47627,47.8,-0.20,95.8,49.8,68.6,,45112,52.5,+0.15,97.1,54.5,73.3,
E12000009,South West,54165,48.8,-0.07,96.6,49.4,69.3,,27727,46.5,-0.23,96,46.7,66.5,,26438,51.2,+0.11,97.1,52.1,72.2,
,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,585201,48.9,-0.03,96.4,50,69,,299047,46.4,-0.21,95.6,47.2,66.4,,286154,51.5,+0.15,97.2,52.8,71.7,
