,,All,,,,,,,Boys,,,,,,,Girls,,,,,
E09000021,Kingston upon Thames,"1,517",55.5,+0.41,96.3,61.3,78.2,,726,53.3,+0.21,94.6,58.7,74.9,,791,57.6,+0.60,97.9,63.7,81.2
E09000022,Lambeth,"1,949",44.3,-0.12,94.8,39.3,60.2,,"1,016",40.9,-0.38,92.6,33.4,55.4,,933,48.0,+0.16,97.2,45.8,65.5
E09000023,Lewisham,"2,247",44.2,-0.28,96.0,37.9,58.7,,"1,165",41.5,-0.49,94.6,36.1,56.0,,"1,082",47.2,-0.05,97.6,39.9,61.6
E09000024,Merton,"1,420",50.2,+0.50,96.3,49.2,69.7,,725,47.5,+0.30,94.9,46.1,65.7,,695,53.0,+0.70,97.8,52.5,74.0
E09000025,Newham,"3,523",48.4,+0.41,97.1,45.8,65.2,,"1,753",46.1,+0.26,96.5,42.8,62.7,,"1,770",50.7,+0.56,97.7,48.7,67.7
E09000026,Redbridge,"3,458",51.2,+0.42,97.9,55.8,73.2,,"1,817",48.2,+0.17,97.4,52.6,70.3,,"1,641",54.4,+0.69,98.4,59.4,76.4
E09000027,Richmond upon Thames,"1,374",52.7,+0.14,97.2,57.7,76.1,,698,49.3,-0.10,96.4,52.1,71.3,,676,56.2,+0.39,98.1,63.5,80.9
E09000028,Southwark,"2,328",50.5,+0.31,97.4,47.8,68.4,,"1,109",49.0,+0.24,96.5,46.5,67.4,,"1,219",51.8,+0.37,98.2,49.0,69.3
E09000029,Sutton,"2,759",56.2,+0.24,98.4,61.3,78.0,,"1,418",54.6,+0.06,98.0,60.5,76.7,,"1,341",57.8,+0.43,98.8,62.0,79.4
E09000030,Tower Hamlets,"2,623",47.2,+0.25,95.7,44.3,65.2,,"1,303",44.1,-0.04,95.2,41.7,62.4,,"1,320",50.3,+0.54,96.3,47.0,68.0
E09000031,Waltham Forest,"2,486",45.5,+0.14,96.7,41.4,63.1,,"1,254",43.0,-0.09,96.0,39.9,62.4,,"1,232",47.9,+0.38,97.4,43.0,63.8
E09000032,Wandsworth,"1,695",49.5,+0.21,95.9,50.6,70.9,,925,48.2,+0.12,95.6,48.6,69.8,,770,51.1,+0.31,96.4,52.9,72.1
E09000033,Westminster,"1,535",52.6,+0.47,98.0,55.4,74.7,,727,47.7,+0.16,96.6,49.7,67.7,,808,57.0,+0.76,99.3,60.5,80.9
,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"24,971",48.2,+0.21,96.3,46.0,66.1,,"12,483",45.6,+0.01,95.4,43.3,63.4,,"12,488",50.8,+0.41,97.3,48.7,68.7
E13000002,Outer London,"50,547",49.2,+0.23,96.8,49.2,68.9,,"25,760",46.6,+0.02,95.9,46.7,66.0,,"24,787",51.9,+0.44,97.9,51.8,71.8
,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"25,177",44.6,-0.21,96.2,38.0,59.9,,"12,871",42.1,-0.40,94.8,35.1,56.2,,"12,306",47.4,-0.01,97.6,41.1,63.7
E12000002,North West,"72,289",45.6,-0.14,97.2,40.3,62.7,,"36,627",43.0,-0.35,96.3,37.3,59.2,,"35,662",48.3,+0.07,98.0,43.4,66.3
E12000003,Yorkshire and the Humber,"53,173",45.4,+0.03,97.2,40.7,61.8,,"27,006",43.1,-0.16,96.6,38.0,58.3,,"26,167",47.8,+0.22,97.8,43.4,65.4
E12000004,East Midlands,"45,492",45.4,-0.11,97.3,41.7,63.1,,"23,155",42.9,-0.31,96.5,39.1,59.9,,"22,337",47.9,+0.10,98.1,44.4,66.4
E12000005,West Midlands,"58,919",45.4,-0.08,96.8,39.8,61.2,,"29,701",42.7,-0.29,95.9,37.1,57.6,,"29,218",48.1,+0.14,97.8,42.5,64.9
E12000006,East,"60,153",46.7,-0.01,97.2,43.7,65.5,,"30,400",44.0,-0.22,96.4,40.6,61.8,,"29,753",49.4,+0.21,98.1,46.8,69.4
E12000007,London,"75,518",48.9,+0.22,96.7,48.2,67.9,,"38,243",46.3,+0.02,95.7,45.6,65.2,,"37,275",51.5,+0.43,97.7,50.8,70.8
E12000008,South East,"83,903",47.4,-0.02,96.6,45.8,66.5,,"43,111",44.8,-0.24,95.3,42.2,62.5,,"40,792",50.3,+0.21,98.0,49.6,70.7
E12000009,South West,"50,308",46.2,-0.13,96.7,42.2,64.1,,"25,708",43.5,-0.34,95.6,38.4,59.9,,"24,600",49.1,+0.10,97.7,46.0,68.5
,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"524,932",46.4,-0.03,96.9,42.9,64.2,,"266,822",43.8,-0.24,95.9,39.9,60.6,,"258,110",49.1,+0.18,97.9,45.9,67.9
