,,All,,,,,,,Boys,,,,,,,Girls,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass
,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,.,.,.,.,.,.,,.,.,.,.,.,.,,.,.,.,.,.,.
E09000002,Barking and Dagenham,"2,185",46.7,+0.23,97.8,43.1,63.6,,"1,146",43.5,+0.01,97.2,38.9,59.8,,"1,039",50.1,+0.47,98.4,47.6,67.8
E09000003,Barnet,"3,528",54.7,+0.47,96.8,60.3,77.8,,"1,811",52.3,+0.25,95.6,57.9,75.8,,"1,717",57.2,+0.70,98.1,62.7,80.0
E09000004,Bexley,"3,141",49.0,-0.05,97.7,49.9,67.6,,"1,558",46.5,-0.23,97.8,46.1,63.3,,"1,583",51.5,+0.12,97.5,53.7,71.8
E09000005,Brent,"2,908",49.0,+0.49,96.8,49.8,67.4,,"1,444",46.8,+0.32,95.9,49.1,66.2,,"1,464",51.1,+0.66,97.7,50.5,68.6
E09000006,Bromley,"3,258",49.8,+0.12,95.9,47.6,70.7,,"1,568",46.9,-0.12,94.3,44.7,66.8,,"1,690",52.5,+0.34,97.5,50.2,74.3
E09000007,Camden,"1,513",48.3,+0.05,96.4,48.3,67.2,,635,44.3,-0.24,95.4,46.3,64.1,,878,51.2,+0.26,97.2,49.8,69.5
E09000008,Croydon,"3,579",45.0,+0.06,95.4,40.6,60.9,,"1,716",41.3,-0.19,92.8,37.6,55.9,,"1,863",48.5,+0.28,97.7,43.4,65.5
E09000009,Ealing,"2,722",48.7,+0.42,97.1,50.7,70.5,,"1,393",46.1,+0.23,95.9,49.1,68.9,,"1,329",51.5,+0.61,98.3,52.4,72.1
E09000010,Enfield,"3,487",46.2,+0.07,97.2,42.6,61.6,,"1,864",44.1,-0.14,96.8,40.9,60.2,,"1,623",48.6,+0.31,97.5,44.5,63.1
E09000011,Greenwich,"2,166",45.9,-0.05,97.5,41.6,62.7,,"1,135",43.3,-0.26,96.3,40.2,60.8,,"1,031",48.8,+0.19,98.8,43.1,64.8
E09000012,Hackney,"2,002",49.4,+0.38,96.6,44.7,66.6,,917,46.2,+0.17,95.1,42.3,63.1,,"1,085",52.1,+0.56,97.9,46.7,69.5
E09000013,Hammersmith and Fulham,"1,313",50.9,+0.17,94.7,52.9,70.2,,675,47.2,-0.03,93.6,47.6,66.8,,638,54.8,+0.39,95.9,58.5,73.8
E09000014,Haringey,"2,127",46.5,+0.29,95.3,43.6,63.1,,"1,110",44.6,+0.12,95.2,41.1,61.1,,"1,017",48.6,+0.48,95.5,46.3,65.3
E09000015,Harrow,"2,049",49.7,+0.47,98.1,50.0,70.2,,"1,029",46.8,+0.22,97.3,47.3,67.1,,"1,020",52.6,+0.72,99.0,52.7,73.3
E09000016,Havering,"2,794",47.5,-0.04,97.9,46.6,68.3,,"1,435",45.6,-0.16,97.5,43.8,64.9,,"1,359",49.5,+0.09,98.2,49.5,72.0
E09000017,Hillingdon,"3,075",47.1,+0.14,96.7,45.3,66.8,,"1,631",44.2,-0.09,95.7,42.5,62.0,,"1,444",50.4,+0.40,97.8,48.5,72.3
E09000018,Hounslow,"2,641",48.0,+0.41,92.7,46.7,68.5,,"1,392",45.6,+0.25,90.5,44.6,66.5,,"1,249",50.7,+0.57,95.1,49.1,70.6
E09000019,Islington,"1,377",45.6,+0.13,97.2,43.9,63.9,,715,43.8,-0.07,96.6,42.9,62.4,,662,47.5,+0.35,97.9,45.0,65.6
E09000020,Kensington and Chelsea,739,55.0,+0.45,97.3,57.4,76.7,,433,55.5,+0.33,96.5,61.4,79.9,,306,54.2,+0.62,98.4,51.6,72.2
