Code,Area,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil
E09000002,Barking and Dagenham,2807,49.3,0.13
E09000003,Barnet,4265,58.1,0.49
E09000004,Bexley,3215,52.3,-0.09
E09000005,Brent,3136,52.4,0.49
E09000006,Bromley,3578,53.9,0.00
E09000007,Camden,1557,52.4,0.17
E09000008,Croydon,3697,47.6,-0.01
E09000009,Ealing,3229,53.7,0.53
E09000010,Enfield,3786,48.6,0.17
E09000011,Greenwich,2740,49.4,-0.01
E09000012,Hackney,2431,51.9,0.04
E09000013,Hammersmith and Fulham,1453,57.4,0.37
E09000014,Haringey,2515,50.5,0.20
E09000015,Harrow,2506,54.2,0.51
E09000016,Havering,2806,50.3,-0.17
E09000017,Hillingdon,3417,51.8,0.33
E09000018,Hounslow,3026,52.6,0.47
E09000019,Islington,1496,49.9,0.07
E09000020,Kensington and Chelsea,908,53.6,-0.11
E09000021,Kingston upon Thames,1782,60.2,0.50
E09000022,Lambeth,2356,46.3,-0.15
E09000023,Lewisham,2197,47.8,0.08
E09000024,Merton,1568,53.6,0.52
E09000025,Newham,4377,53.8,0.38
E09000026,Redbridge,3824,56.5,0.49
E09000027,Richmond upon Thames,1773,58,0.37
E09000028,Southwark,2961,53.6,0.34
E09000029,Sutton,3118,61,0.34
E09000030,Tower Hamlets,3088,49.8,0.09
E09000031,Waltham Forest,2747,48.2,-0.06
E09000032,Wandsworth,1975,54,0.35
E09000033,Westminster,1801,57.3,0.51
