,,All,,,,,,,Boys,,,,,,,Girls,,,,,
E09000024,Merton,"1,555",53.1,-,97.4,54.5,75.0,,806,50.5,-,97.0,51.6,71.6,,749,55.9,-,97.9,57.7,78.8
E09000025,Newham,"4,079",53.1,-,97.8,54.0,73.1,,"2,056",50.8,-,97.2,51.0,71.1,,"2,023",55.5,-,98.4,57.0,75.2
E09000026,Redbridge,"3,815",56.0,-,97.8,62.0,79.1,,"1,954",53.7,-,96.9,59.0,76.8,,"1,861",58.4,-,98.7,65.1,81.5
E09000027,Richmond upon Thames,"1,667",57.5,-,98.2,63.5,82.1,,838,54.3,-,97.4,59.1,79.0,,829,60.6,-,99.0,67.9,85.2
E09000028,Southwark,"2,659",53.7,-,98.1,53.4,75.4,,"1,311",51.3,-,97.0,51.6,73.2,,"1,348",56.1,-,99.2,55.1,77.5
E09000029,Sutton,"2,920",61.3,-,98.4,67.2,84.4,,"1,467",59.6,-,97.3,65.6,82.3,,"1,453",63.1,-,99.5,68.9,86.5
E09000030,Tower Hamlets,"3,082",50.1,-,93.7,51.3,73.4,,"1,479",47.9,-,93.3,47.5,71.1,,"1,603",52.1,-,94.1,54.7,75.5
E09000031,Waltham Forest,"2,693",50.0,-,96.5,49.5,71.0,,"1,350",47.0,-,95.9,44.6,67.7,,"1,343",53.1,-,97.1,54.5,74.4
E09000032,Wandsworth,"1,865",52.7,-,95.2,56.2,74.7,,987,49.8,-,93.7,52.2,71.5,,878,55.8,-,96.9,60.7,78.2
E09000033,Westminster,"1,721",57.1,-,98.0,63.1,81.6,,862,53.2,-,97.1,57.9,78.0,,859,60.9,-,99.0,68.3,85.3
,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"28,132",52.3,-,,,,,,,-,,,,,,,-,,,
E13000002,Outer London,"54,997",53.6,-,,,,,,,-,,,,,,,-,,,
,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"26,395",48.4,-,,,,,,,-,,,,,,,-,,,
E12000002,North West,"77,572",49.0,-,,,,,,,-,,,,,,,-,,,
E12000003,Yorkshire and the Humber,"57,544",48.3,-,,,,,,,-,,,,,,,-,,,
E12000004,East Midlands,"48,542",49.1,-,,,,,,,-,,,,,,,-,,,
E12000005,West Midlands,"64,062",49.0,-,,,,,,,-,,,,,,,-,,,
E12000006,East,"63,682",50.3,-,,,,,,,-,,,,,,,-,,,
E12000007,London,"83,129",53.2,-,,,,,,,-,,,,,,,-,,,
E12000008,South East,"88,737",51.4,-,,,,,,,-,,,,,,,-,,,
E12000009,South West,"52,331",50.4,-,,,,,,,-,,,,,,,-,,,
,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"561,994",50.2,-,,,,,,,-,,,,,,,-,,,
