,,All,,,,,,,Boys,,,,,,,Girls,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass
,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,-,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-
E09000002,Barking and Dagenham,"2,525",49.7,-,97.3,47.2,70.8,,"1,294",46.8,-,96.2,41.8,67.5,,"1,231",52.7,-,98.5,53.0,74.3
E09000003,Barnet,"4,010",60.1,-,97.6,67.9,83.1,,"2,048",58.1,-,97.5,66.1,82.3,,"1,962",62.1,-,97.7,69.9,84.0
E09000004,Bexley,"3,150",53.5,-,98.5,55.9,76.0,,"1,630",51.0,-,98.2,52.7,72.5,,"1,520",56.1,-,98.9,59.3,79.9
E09000005,Brent,"3,078",53.1,-,97.7,56.5,74.7,,"1,616",51.0,-,97.2,54.1,71.9,,"1,462",55.5,-,98.2,59.2,77.7
E09000006,Bromley,"3,411",54.5,-,96.9,56.9,77.1,,"1,637",51.4,-,96.0,51.6,73.4,,"1,774",57.5,-,97.7,61.9,80.4
E09000007,Camden,"1,573",52.2,-,96.3,53.5,72.9,,682,47.8,-,94.3,47.4,67.6,,891,55.5,-,97.9,58.1,77.0
E09000008,Croydon,"3,755",48.9,-,96.8,48.9,69.0,,"1,886",45.0,-,95.3,43.6,64.3,,"1,869",52.8,-,98.3,54.3,73.8
E09000009,Ealing,"3,043",53.5,-,98.0,58.1,76.9,,"1,525",50.2,-,97.4,53.2,72.1,,"1,518",56.8,-,98.6,63.0,81.6
E09000010,Enfield,"3,767",49.8,-,96.5,49.6,68.6,,"1,942",47.1,-,95.5,45.3,65.6,,"1,825",52.8,-,97.6,54.1,71.8
E09000011,Greenwich,"2,448",50.2,-,97.5,50.7,70.1,,"1,184",48.3,-,97.2,48.8,69.1,,"1,264",52.0,-,97.9,52.5,71.1
E09000012,Hackney,"2,286",53.2,-,96.9,53.8,75.4,,"1,062",50.7,-,96.6,51.0,71.8,,"1,224",55.4,-,97.2,56.2,78.4
E09000013,Hammersmith and Fulham,"1,458",56.1,-,95.1,62.0,78.1,,731,52.8,-,92.6,56.2,74.0,,727,59.4,-,97.7,67.8,82.3
E09000014,Haringey,"2,484",51.4,-,96.7,50.9,71.9,,"1,300",48.6,-,95.4,45.8,68.9,,"1,184",54.5,-,98.1,56.4,75.2
E09000015,Harrow,"2,334",53.4,-,97.4,55.7,74.9,,"1,168",49.5,-,96.4,50.3,70.8,,"1,166",57.2,-,98.5,61.0,79.0
E09000016,Havering,"2,842",51.9,-,97.2,54.6,77.0,,"1,451",50.1,-,96.3,52.7,73.6,,"1,391",53.8,-,98.1,56.6,80.4
E09000017,Hillingdon,"3,301",52.1,-,97.1,55.1,75.1,,"1,718",48.7,-,96.0,50.7,72.1,,"1,583",55.7,-,98.2,59.9,78.3
E09000018,Hounslow,"2,916",52.6,-,95.8,55.0,74.3,,"1,478",49.9,-,95.6,50.2,70.8,,"1,438",55.3,-,96.0,60.0,77.8
E09000019,Islington,"1,471",49.7,-,95.2,50.5,71.0,,808,48.2,-,94.9,48.9,68.9,,663,51.6,-,95.6,52.5,73.6
E09000020,Kensington and Chelsea,899,58.0,-,98.0,64.3,82.1,,480,58.3,-,97.9,66.9,83.5,,419,57.8,-,98.1,61.3,80.4
E09000021,Kingston upon Thames,"1,767",58.9,-,96.8,65.2,81.7,,861,56.4,-,96.5,61.6,79.3,,906,61.3,-,97.0,68.7,84.0
E09000022,Lambeth,"2,250",49.3,-,97.0,47.3,69.1,,"1,141",45.8,-,95.8,42.1,64.1,,"1,109",52.8,-,98.2,52.7,74.3
E09000023,Lewisham,"2,305",48.4,-,96.1,45.7,66.6,,"1,174",45.3,-,95.1,41.0,63.1,,"1,131",51.7,-,97.1,50.7,70.3
