Code,Area,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil
E09000002,Barking and Dagenham,2185,46.7,0.23
E09000003,Barnet,3528,54.7,0.47
E09000004,Bexley,3141,49.0,-0.05
E09000005,Brent,2908,49.0,0.49
E09000006,Bromley,3258,49.8,0.12
E09000007,Camden,1513,48.3,0.05
E09000008,Croydon,3579,45.0,0.06
E09000009,Ealing,2722,48.7,0.42
E09000010,Enfield,3487,46.2,0.07
E09000011,Greenwich,2166,45.9,-0.05
E09000012,Hackney,2002,49.4,0.38
E09000013,Hammersmith and Fulham,1313,50.9,0.17
E09000014,Haringey,2127,46.5,0.29
E09000015,Harrow,2049,49.7,0.47
E09000016,Havering,2794,47.5,-0.04
E09000017,Hillingdon,3075,47.1,0.14
E09000018,Hounslow,2641,48.0,0.41
E09000019,Islington,1377,45.6,0.13
E09000020,Kensington and Chelsea,739,55.0,0.45
E09000021,Kingston upon Thames,1517,55.5,0.41
E09000022,Lambeth,1949,44.3,-0.12
E09000023,Lewisham,2247,44.2,-0.28
E09000024,Merton,1420,50.2,0.50
E09000025,Newham,3523,48.4,0.41
E09000026,Redbridge,3458,51.2,0.42
E09000027,Richmond upon Thames,1374,52.7,0.14
E09000028,Southwark,2328,50.5,0.31
E09000029,Sutton,2759,56.2,0.24
E09000030,Tower Hamlets,2623,47.2,0.25
E09000031,Waltham Forest,2486,45.5,0.14
E09000032,Wandsworth,1695,49.5,0.21
E09000033,Westminster,1535,52.6,0.47
