Code,Area,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil
E09000007,Camden,1601,48.0,-0.03
E09000012,Hackney,2449,51.4,0.34
E09000013,Hammersmith and Fulham,1519,54.8,0.47
E09000014,Haringey,2716,48.2,0.21
E09000019,Islington,1530,46.7,-0.03
E09000020,Kensington and Chelsea,997,53.5,0.30
E09000022,Lambeth,2440,44.8,0.01
E09000023,Lewisham,2282,45.4,0.00
E09000025,Newham,4613,51.1,0.25
E09000028,Southwark,3117,51.9,0.38
E09000030,Tower Hamlets,3085,48.6,0.21
E09000032,Wandsworth,2099,50.4,0.33
E09000033,Westminster,1772,54.3,0.48
E09000002,Barking and Dagenham,3042,48.0,0.24
E09000003,Barnet,4491,57.1,0.64
E09000004,Bexley,3313,49.7,-0.06
E09000005,Brent,3226,50.5,0.61
E09000006,Bromley,3693,51.2,0.04
E09000008,Croydon,3906,45.7,0.01
E09000009,Ealing,3343,52.0,0.62
E09000010,Enfield,3871,47.0,0.21
E09000011,Greenwich,2852,47.0,-0.01
E09000015,Harrow,2618,51.6,0.45
E09000016,Havering,2968,47.4,-0.09
E09000017,Hillingdon,3510,48.9,0.24
E09000018,Hounslow,3204,49.9,0.45
E09000021,Kingston upon Thames,1893,58.6,0.58
E09000024,Merton,1711,52.2,0.59
E09000026,Redbridge,3949,54.6,0.50
E09000027,Richmond upon Thames,1891,55.9,0.40
E09000029,Sutton,3278,59.9,0.51
E09000031,Waltham Forest,2805,45.7,-0.06
